Evaluador,Obsevación,N_Modelo,ID,Instrumento,mm 11,mm 12,mm 13,mm 21,mm 22,mm 23,mm 13 - 11,mm 23 - 21,Distancia_intercanina mm 13 - 23,mm 41,mm 42,mm 43,mm 31,mm 32,mm 33,mm 43 - 41,mm 33 - 31,Distancia_intercanina mm 43 - 33
2,1,11,11,vernier,7.63,6.67,7.53,8.24,6.85,6.72,21.86,22.49,37.41,5.39,6.39,6.53,5.48,5.98,5.86,16.14,15.23,28.18
2,1,12,12,vernier,7.53,5.98,7.19,7.77,5.61,7.44,21.39,21.11,34.79,5.26,5.11,6.01,4.5,5.87,6.08,14.86,15.57,24.21
2,1,13,13,vernier,7.75,6.49,7.65,7.63,6.7,7.45,19.01,19.25,19.03,5.11,5.44,6.13,5.37,5.46,5.87,14.76,14.23,25.65
2,1,14,14,vernier,7.8,6.49,7.85,8.25,6.31,7.31,20.47,21.02,37.85,4.79,5.87,6.83,4.58,5.81,6.05,19.36,16.33,30.26
2,1,15,15,vernier,8.53,6.65,8.27,8.83,6.52,8.32,22.02,22.38,37.46,5.95,6.38,7.6,5.62,6.26,7.18,16.44,17.14,30.42
2,1,16,16,vernier,8.04,6.99,7.93,8.51,6.69,0,20.94,0,0,5.27,6,6.56,5.43,5.51,6.14,15.83,17.11,28.29
2,1,17,17,vernier,7.66,5.81,7.69,7.41,6.06,7.08,20.73,20.89,34.62,5.18,5.18,5.72,4.68,5.38,6.26,16.67,16.22,27.31
2,1,18,18,vernier,9.04,6.48,8.07,8.93,6.43,7.81,21.41,22.41,36.14,5.69,5.69,6.95,5.28,5.85,7.05,17.44,16.83,29.01
2,1,19,19,vernier,8.01,7.11,8.11,8.44,7.31,8.08,21.66,22.74,35.61,5.09,5.48,6.28,5.05,5.31,6.03,16.18,15.98,25.31
2,1,20,20,vernier,7.77,5.81,7.53,7.61,5.62,7.48,20.91,20.04,36.78,4.89,4.87,6.42,6.42,5.53,6.46,15.12,15.71,26.37
2,1,21,21,vernier,7.34,5.32,6.77,7.71,5.49,6.67,18.78,19.64,32.49,4.55,5.09,5.76,4.58,5.05,5.31,15.02,14.78,25.18
2,1,22,22,vernier,8.04,6.47,7.21,8.06,6.63,7.02,20.61,20.85,20.54,4.81,5.24,6.21,4.53,5.12,5.58,14.55,14.51,21.98
2,1,23,23,vernier,9.73,7.07,8.51,9.53,6.73,8.49,23.02,22.98,39.19,5.06,6.14,7.48,5.33,6.31,6.89,16.32,17.88,29.71
2,1,24,24,vernier,8.53,5.85,7.44,8.31,6.35,7.57,20.56,20.12,33.47,5.06,6.39,6.67,5.24,5.66,6.71,15.76,15.24,25.94
2,1,25,25,vernier,8.67,6.83,8.16,8.69,6.34,8.09,20.63,21.11,36.11,5.81,6.21,6.31,6.08,6.16,6.64,16.39,17.45,28.51
2,1,26,26,vernier,7.56,6.33,7.61,7.62,6.61,8.18,20.68,20.58,33.91,5.37,5.72,6.78,5.25,5.84,6.67,15.12,15.71,27.72
2,1,27,27,vernier,9.12,6.74,7.36,8.65,6.57,7.49,21.8,21.79,36.84,5.42,6.06,7.43,5.51,6.15,6.35,16.31,17.08,27.66
2,1,28,28,vernier,8.98,5.74,8.31,9.93,5.45,8.16,21.63,21.64,37.29,6.22,7.26,7.16,6.44,7.32,7.01,17.06,17.17,28.72
2,1,29,29,vernier,9.04,7.92,7.55,9.23,7.71,7.71,23.01,22.56,41.11,5.52,6.56,6.87,5.85,6.26,6.7,17.17,17.79,30.53
2,1,30,30,vernier,7.78,6.23,7.71,7.47,6.38,7.89,20.05,19.11,34.01,4.74,5.22,6.47,4.86,5.59,6.47,16.18,14.58,29.74
2,1,31,31,vernier,8.64,7.84,8.04,8.47,7.51,8.19,22.19,21.19,22.07,6.34,6.48,7.79,5.81,6.13,7.33,13.99,14.27,23.66
2,1,32,32,vernier,8.32,5.16,8.44,8.52,5.32,8.36,22.04,23.05,38.31,5.22,6.54,6.79,4.71,6.24,6.62,16.93,15.71,26.25
2,1,33,33,vernier,8.66,5.56,7.49,8.69,5.2,7.88,21.34,21.11,35.63,5.06,5.08,6.44,4.65,5.96,6.45,15.78,16.86,28.62
2,1,34,34,vernier,8.14,6.14,7.64,8.84,6.24,7.12,20.83,21.09,35.9,5.26,5.27,6.44,5.39,5.79,6.48,15.98,16.35,27.13
2,1,35,35,vernier,8.32,7.52,7.77,9.04,7.31,7.35,22.6,21.49,36.52,5.98,6.36,7.23,5.51,6.45,6.99,15.82,17.85,28.61
2,1,36,36,vernier,9.64,6.41,8.05,9.61,6.75,8.31,22.78,22.68,37.75,6.16,6.07,6.93,5.76,6.61,6.91,16.72,18.13,29.25
2,1,37,37,vernier,7.74,7.14,7.17,7.81,6.86,7.25,20.89,21.81,33.89,4.87,5.19,5.52,4.75,5.41,6.27,15.33,16.32,25.58
2,1,38,38,vernier,7.36,6.81,7.96,7.86,6.65,7.85,22.96,23.05,35.27,5.27,5.42,6.46,4.83,6.02,6.63,17.36,17.49,27.29
2,1,39,39,vernier,8.14,6.88,8.89,8.36,6.61,8.91,24.11,24.54,38.58,5.93,6.11,6.89,6.07,6.51,7.12,17.2,18.67,30.05
2,1,40,40,vernier,8.25,5.91,8.41,8.07,5.99,8.04,21.68,20.28,36.11,5.33,5.47,6.88,5.29,5.84,6.94,15.85,14.35,25.39
2,1,41,41,vernier,8.41,6.95,8.28,8.57,7.35,8.05,25.18,25.31,40.73,5.57,6.35,6.77,5.97,5.98,6.79,18.92,19.04,31.32
2,1,42,42,vernier,8.05,6.02,7.97,8.32,6.21,7.65,22.43,21.64,35.59,4.62,5.84,6.77,5.53,5.62,6.64,18.05,17.68,28.52
2,1,43,43,vernier,9.27,6.89,9.06,9.13,6.92,8.45,22.92,24.43,35.53,6.02,6.55,7.63,5.73,6.38,7.35,17.94,17.82,28.1
2,1,44,44,vernier,8.14,7.26,8.59,8.37,7.14,7.93,24.98,24.76,38.82,5.67,0,7.43,5.19,6.44,7.09,19.11,0,24.82
2,1,45,45,vernier,7.98,6.37,8.24,7.81,6.22,8.12,22.96,23.05,35.63,4.71,5.55,6.88,5.25,5.47,6.68,16.81,17,27.3
2,1,46,46,vernier,8.73,7.42,8.65,8.52,7.24,8.21,24.52,23.84,40.88,5.25,6.04,7.58,5.3,6.03,7.38,17.49,17.89,31.06
2,1,47,47,vernier,8.81,7.68,8.15,9.06,7.32,7.83,24.66,24.89,39.82,5.74,5.61,7.13,5.33,5.72,7.26,17.91,18.04,28.43
2,1,48,48,vernier,8.88,7.01,7.73,8.59,6.86,7.77,24.51,24.72,40.49,5.54,6.12,7.18,5.65,6.34,6.71,18.78,18.78,32.2
2,1,49,49,vernier,8.79,7.63,6.77,8.17,7.58,6.87,23.12,22.26,39.77,5.63,5.57,6.42,5.92,5.93,6.51,18.19,17.12,31.17
