Evaluador,Obsevación,N Modelo,ID,Instrumento,mm 11,mm 12,mm 13,mm 21,mm 22,mm 23,mm 13 - 11,mm 23 - 21,Distancia_intercanina mm 13 - 23,mm 41,mm 42,mm 43,mm 31,mm 32,mm 33,mm 43 - 41,mm 33 - 31,Distancia_intercanina mm 43 - 33
3,1,20,20,Vernier,7.56,5.58,7.66,7.83,6.15,7.58,22.05,21.12,37.79,5.1,5.34,6.27,5.52,5.58,6.81,16.27,16.03,27.72
3,1,21,21,Vernier,7.35,5.24,6.81,7.69,5.47,6.82,20.76,20.79,33.74,4.57,5.58,5.06,4.75,4.95,4.99,15.65,15.46,26.42
3,1,22,22,Vernier,8.24,7.28,7.29,8.25,6.83,7.09,21.59,22.07,37.74,4.84,5.31,6.04,4.99,5.63,5.39,15.24,15.46,27.46
3,1,23,23,Vernier,9.75,7.44,8.56,9.65,7.01,8.61,24.07,25.55,40.71,4.91,6.08,7.23,5.28,6.36,6.86,18.09,18.71,30.7
3,1,24,24,Vernier,8.44,6.03,7.29,8.02,6.07,7.63,21.98,21.97,36.34,5.13,6.35,6.88,5.34,5.96,6.64,17.06,16.87,28.5
3,1,25,25,Vernier,8.65,6.86,8.08,8.75,6.78,7.79,23.79,23.58,36.54,5.92,6.45,6.58,6.06,6.16,7.31,18.64,18.62,30.29
3,1,26,26,Vernier,7.54,6.41,7.15,7.86,6.51,7.99,22.61,23.22,36.44,5.35,5.73,6.64,5.14,5.84,6.69,16.43,17.04,29.05
3,1,27,27,Vernier,9.12,6.75,7.39,9.06,6.65,7.39,23.84,23.02,37.83,5.49,5.9,6.43,5.74,5.96,6.55,17.72,17.93,34.36
3,1,28,28,Vernier,8.93,5.93,8.13,9.63,5.37,8.32,24.24,24.07,36.55,6.18,7.29,7.09,6.84,7.36,7.22,18.99,19.62,29.16
3,1,29,29,Vernier,9.03,7.77,7.45,9.46,7.38,7.67,25.28,26.07,41.77,5.48,6.64,5.72,5.83,6.46,6.57,18.19,19.29,30.85
3,1,30,30,Vernier,7.74,6.21,7.88,7.61,6.11,8.13,21.81,21.24,35.84,4.71,5.18,6.59,4.77,5.52,6.31,16.47,16.27,27.81
3,1,31,31,Vernier,8.48,8.08,8.18,8.22,7.86,8.44,24.44,24.88,37.69,6.36,6.59,7.9,5.82,6.26,7.19,14.78,16.56,24.57
3,1,32,32,Vernier,8.43,4.83,8.42,8.54,5.41,8.24,23.94,24.42,39.96,5.24,6.52,7.02,4.85,6.04,6.4,17.2,17.34,27.92
3,1,33,33,Vernier,8.74,5.47,7.45,8.72,5.75,7.55,22.23,22.23,37.18,4.85,5.39,6.83,4.5,5.85,6.18,17.31,17.45,29.89
3,1,34,34,Vernier,8.13,6.67,7.76,8.94,6.14,6.98,23.16,23.57,37.12,4.77,5.05,6.43,5.43,5.46,5.84,17.24,17.45,27.98
3,1,35,35,Vernier,8.38,7.53,7.67,8.97,7.33,7.36,24.04,23.52,37.18,5.95,6.27,7.16,5.37,6.45,6.96,17.32,17.76,29.06
3,1,36,36,Vernier,9.94,6.55,8.16,9.42,6.97,7.99,25.42,25.86,38.64,6.18,6.36,7.03,5.72,6.67,7.18,18.79,18.61,31.21
3,1,37,37,Vernier,7.86,7.14,7.05,8.06,6.62,6.97,22.92,22.94,35.06,5.02,5.36,5.4,4.92,5.52,6.13,16.53,16.72,26.66
3,1,38,38,Vernier,7.74,6.78,7.88,7.84,6.11,7.9,23.53,23.69,37.68,5.19,5.83,6.47,4.6,6.07,6.75,17.96,18.14,27.71
3,1,39,39,Vernier,8.37,7.24,8.97,8.42,7.07,9.06,24.92,25.04,39.32,6.37,6.12,7.24,6.19,6.71,7.19,20.3,19.18,31.21
3,1,40,40,Vernier,8.39,6.14,8.55,8.85,6.14,8.09,23.51,24.19,36.96,5.39,5.91,6.79,5.4,6.05,6.98,15.89,17.37,26.51
3,1,41,41,Vernier,8.81,7.94,8.33,8.79,7.71,8.22,25.27,25.62,41.75,5.44,6.01,7.07,5.94,6.15,6.91,18.73,18.74,33.04
3,1,42,42,Vernier,7.82,5.64,8.04,8.17,6.24,7.66,22.92,22.71,36.41,5.33,5.79,7.17,5.46,5.76,7.06,18.74,17.98,28.73
3,1,43,43,Vernier,9.28,7.08,8.56,9.37,7.58,9.01,24.76,22.81,36.52,6.17,6.16,6.41,7.55,6.72,7.35,18.02,18.17,29.51
