"Evaluador","Obsevación","N Modelo","ID","Instrumento","mm_11","mm_12","mm_13","mm_21","mm_22","mm_23","mm_13_11","mm_23_21","mm_13_23","mm_41","mm_42","mm_43","mm_31","mm_32","mm_33","mm_43_41","mm_33_31","mm_43_33"
3,2,2,14,"Vernier",7.86,7.37,8.06,8.41,6.31,8.42,22.54,22.96,37.69,5.38,6.25,6.94,5.61,6.01,6.85,17.56,17.62,31.05
3,2,3,18,"Vernier",8.92,6.43,7.98,9.27,6.46,7.75,22.49,23.77,38.17,5.74,5.81,6.72,5.63,5.97,7.17,18.58,17.65,28.58
3,2,4,27,"Vernier",9.49,6.62,7.12,9.05,6.89,7.37,24.09,23.41,37.69,5.46,5.88,6.64,5.79,5.98,6.06,17.83,17.97,28.56
3,2,5,50,"Vernier",9.11,6.98,7.48,9.38,7.21,8.08,24.18,52.37,39.43,5.71,5.98,7.12,5.62,6.65,7.44,17.93,18.62,32.25
3,2,6,55,"Vernier",7.53,4.99,7.56,7.93,5.19,7.62,21.79,21.92,35.11,5.22,5.25,5.78,4.95,5.24,5.34,16.37,17.19,27.97
3,2,7,60,"Vernier",7.51,6.09,7.62,8.04,6.21,7.76,22.44,22.07,35.78,4.65,5.32,6.22,4.73,5.63,6.28,17.16,16.96,27.95
3,2,8,71,"Vernier",8.44,6.35,7.78,7.88,6.14,7.43,23.21,22.34,37.33,4.84,5.42,6.55,4.87,5.34,7.01,17.17,16.62,29.51
3,2,9,76,"Vernier",9.26,6.88,7.75,8.82,6.6,7.78,24.02,22.26,36.99,5.34,5.93,6.13,5.56,6.26,6.62,18.27,15.99,30.05
3,2,10,79,"Vernier",8.52,6.94,NA,8.32,6.45,7.68,0,22.41,0,5.09,6.07,6.47,5.28,5.86,6.71,16.77,17.39,20.27
3,2,11,95,"Vernier",8.48,7.04,7.37,8.62,6.62,7.94,23.56,23.17,35.76,5.46,6.03,6.61,5.52,6.09,6.71,16.44,17.24,26.09
3,2,12,116,"Vernier",8.62,6.59,7.49,8.49,6.57,8.17,22.95,22.06,34.74,5.18,5.77,6.46,5.06,6.08,6.28,17.23,17.17,28.08
3,2,13,130,"Vernier",8.68,6.22,8.42,7.99,7.15,8.32,23.27,23.42,39,6.28,6.97,6.07,6.92,5.94,7.08,17.77,21.72,30.85
3,1,1,3,"Calibrador",8.5,6.5,8,8.5,7,7.5,22,22.5,37,5,6,6,4.5,6,6,17,16,26.5
3,1,2,14,"Calibrador",8,7,8.2,8.5,7,8,22.5,22.2,36.5,5.5,6,7,6,6.5,6.5,17.5,17.5,30
3,1,3,18,"Calibrador",8.5,6.5,8,9,6.3,8,22,23,38,5.5,5.5,6.5,5.3,5.5,6.9,18.5,17.5,27.5
3,1,4,27,"Calibrador",9,6.5,7.5,8.5,6.5,7,23.5,22,36,5.5,6,6.5,5.5,6,6.2,17.5,18,27
3,1,5,50,"Calibrador",9,6.5,8,9,7,8,24,25,39.5,5,6,6.8,5.5,6,7,17.5,18.5,31
3,1,6,55,"Calibrador",7.5,5,7.5,7.5,5.5,7.5,21,21,33.5,5,5.5,6,5,5,6,16.5,16,27
3,1,7,60,"Calibrador",7,6,8,8,6,7.5,22,21.5,34.5,5,5.5,6.5,4.5,5.5,6,16.8,17,27
3,1,8,71,"Calibrador",8,6.5,7.5,7.5,6,8,23.5,22,36.5,5,5.5,7,4.5,5,7,17.5,17,28.5
3,1,9,76,"Calibrador",9,6.5,7.5,8.5,6.5,7.5,23.5,21.5,34.5,5,5.5,6,5,6,6.5,17.5,16,28
3,1,10,79,"Calibrador",7.5,6.5,NA,8,7,7.5,0,22,0,4.5,5.5,6.5,5,5.5,6,16.5,17,25
3,1,11,95,"Calibrador",8.5,7,7.5,8,7,8,23.5,23,35,5.3,6,6.5,5.5,6,6.9,16.5,17.5,25
3,1,12,116,"Calibrador",8,7.5,8,8.5,6.9,8,22.7,21.5,34,5.2,6,6.5,4.5,6,6.5,17.5,16.5,27.5
3,1,13,130,"Calibrador",8,6,8,8.5,7,8,22.5,27,38,6,7,6.5,6.5,6,6.5,19,21.5,30
3,2,1,3,"Calibrador",8,6,7.5,8,6.5,7.5,23,22.5,36.5,4.5,5.5,6,4,5.5,6,17,17.5,26
3,2,2,14,"Calibrador",7.5,7,8,8,6,7.5,22,22,36,5.5,6,7,5,6,6.5,17.5,16,30
3,2,3,18,"Calibrador",9,6.5,8,9,6.5,8,23,24,36,5.5,6,7,5.5,6,7,19,18,28
3,2,4,27,"Calibrador",9,6.5,7.5,8.5,6.5,7,23.5,22.5,36,5.5,6,6,5.5,5.5,6,17,17.5,26.5
3,2,5,50,"Calibrador",9,7,8,9,8,8,25,26,40,5,6,7,5.5,6,7.5,18,18.5,31
3,2,6,55,"Calibrador",8,5.5,7.5,8,6,8,21,21.5,33,5,5.5,6,5,5.5,6,16.5,17,27.5
3,2,7,60,"Calibrador",7.5,6,8,8,6,8,22,22,35,4.5,6,7,5,6,6.5,17.5,17.2,27
3,2,8,71,"Calibrador",8.2,6.5,8,8,6,8,23.5,22.2,36.5,5,6,7,5,5.5,7,17.5,17,28
3,2,9,76,"Calibrador",9,6.5,7.5,8.5,6.5,7,23.5,21,36,5,6,6,5.5,6,6.5,17,15,27
3,2,10,79,"Calibrador",8,6.5,NA,8,7,7.5,0,22,0,5,5.5,6,5,5.5,6,16.5,16.5,24.5
3,2,11,95,"Calibrador",8,6.5,7.5,8,6.5,7.5,26.5,27,34.5,5,6,6.5,5,6,6.5,14,17,25
3,2,12,116,"Calibrador",8,6.5,7.5,8,6.5,8,22.5,21.5,33.5,5,5.5,6,4.5,5.5,6.5,17,16.5,26
3,2,13,130,"Calibrador",8,6,8,8,6.8,8,23,23,38,6,7,6,6.5,6,6.5,19.55,22,30
2,1,1,3,"Vernier",8.46,6.33,7.66,8.44,6.27,7.13,21.52,21.5,37,5.22,6.16,5.63,4.72,5.37,6.14,16.47,15.64,27.53
2,1,2,14,"Vernier",8.26,7.36,8.04,8.66,6.55,7.9,22.43,22.8,35.47,5.64,6.35,7.03,5.83,6.22,6.48,17.7,17.24,30.15
2,1,3,18,"Vernier",9.3,6.68,8.03,9.15,6.52,7.97,21.73,23.21,34.35,5.76,5.8,6.95,5.66,6.06,7.15,18.6,17.51,28.6
2,1,4,27,"Vernier",9.68,6.8,7.5,8.82,6.55,7.46,23.38,22.17,36.32,5.59,5.85,6.48,5.7,5.93,5.44,16.12,16.79,27.9
2,1,5,50,"Vernier",9.29,5.51,7.9,9.45,6.51,7.98,23.37,24.5,38.95,5.6,6.14,7.2,5.88,6.14,7.45,17.16,17.98,37.88
2,1,6,55,"Vernier",7.63,5.15,7.75,7.6,5.35,7.59,21.45,20.92,34.55,5.07,5.58,5.75,5.12,5.4,5.93,16.63,16.6,27.58
2,1,7,60,"Vernier",7.3,5.75,7.45,7.32,5.89,7.59,20.9,21.3,35.38,4.44,5.48,6,4.87,5.37,6.24,15.65,16.43,26.54
2,1,8,71,"Vernier",8.32,6.61,6.67,7.97,5.8,7.12,21.74,20.71,35.65,4.94,4.75,6.36,5.08,5.51,6.89,16.34,16.32,28.02
2,1,9,76,"Vernier",9.32,6.88,7.61,8.69,6.68,7.83,22.1,20.11,37.22,5.51,5.98,6.52,5.56,6.08,6.43,16.23,14.27,28.29
2,1,10,79,"Vernier",8.16,6.78,NA,8.26,6.73,7.84,0,20.6,0,5.11,6.05,6.58,4.97,5.92,6.92,16.3,17.22,24.43
2,1,11,95,"Vernier",8.37,6.8,7.7,8.75,6.44,7.87,21.58,21.27,35.31,5.45,6.12,5.87,5.51,6.16,6.95,15.88,16.94,25.95
2,1,12,116,"Vernier",8.18,6.1,6.94,8.15,6.18,7.9,20.03,20.9,32.99,5.09,5.72,6.46,5.03,5.95,6.58,15.79,16.1,24.59
2,1,13,130,"Vernier",8.44,6.16,8.19,8.18,6.15,8.05,22.15,22.5,37.19,6.47,7.25,6.02,7.04,6.03,6.69,18.16,19.01,29.8
2,2,1,3,"Vernier",7.86,5.66,7.3,7.69,5.68,6.97,21.84,21.15,35.47,5.18,5.6,5.43,4.57,5.19,6.02,16.92,16.51,27.65
2,2,2,14,"Vernier",7.96,6.98,8.13,8.41,6.5,7.79,21.13,22.85,36.8,6.1,6.02,7.02,5.38,6.47,6.5,16.97,16.95,30.15
2,2,3,18,"Vernier",8.93,6.3,8.07,9.02,6.35,7.9,21.52,22.55,35,5.77,5.67,7.03,5.56,5.95,7.11,18.66,16.71,29.21
2,2,4,27,"Vernier",9.22,6.12,7.46,8.46,6.38,7.49,22.1,21.61,37.12,5.53,6.02,6.5,5.71,5.97,6.41,16.82,17.3,27.95
2,2,5,50,"Vernier",8.95,5.56,7.67,9.01,5.72,7.6,23.34,24.36,38.99,5.57,6.07,7.23,5.88,5.82,7.33,16.76,17.55,31.22
2,2,6,55,"Vernier",7.77,5.25,7.39,7.35,5.28,7.8,21.07,20.36,34.14,4.91,5.49,6.05,4.9,5.43,6.02,16.55,15.97,27.77
2,2,7,60,"Vernier",6.84,5.86,7.82,7.04,5.66,7.86,20.75,21.22,35.41,4.45,5.16,5.71,4.65,5.28,6.48,15.86,16.67,26.65
2,2,8,71,"Vernier",8.36,6.75,7.38,7.87,6.12,7.74,21.92,20.5,37.03,5.06,5.34,6.86,5.06,5.14,6.84,16.54,16.43,28.09
2,2,9,76,"Vernier",9.3,7.03,7.89,8.63,6.66,7.78,22.73,21.87,36.92,5.46,5.98,6.65,5.51,5.97,6.63,16.9,14.92,28.19
2,2,10,79,"Vernier",8.09,7.05,NA,8.07,6.6,7.92,0,22.82,0,5.07,6.07,6.71,7.17,5.76,6.89,16.68,16.73,25.49
2,2,11,95,"Vernier",8.36,6.96,7.87,8.68,6.52,8.03,22.82,22.14,35.31,5.48,6.12,6.95,5.48,6.08,7.07,15.99,17.67,25.6
2,2,12,116,"Vernier",8.45,6.33,6.95,8.27,6.48,8.05,19.25,20.95,32.87,5.07,5.61,6.76,4.8,6.11,6.55,15.13,15.81,26.86
2,2,13,130,"Vernier",8.69,6.37,8.36,8.09,6.24,8.43,22.13,22.53,37.91,6.33,7.1,6.31,6.92,5.95,7.05,18.23,19.72,31.04
2,1,1,3,"Calibrador",8.5,6.2,7.9,8,6.1,7.5,22.3,22,36.3,4.9,4.4,5.8,4.4,6,5.9,16.2,16,26.3
2,1,2,14,"Calibrador",5.9,5.9,5.9,6.2,6,6.1,22.1,22.1,35.9,5,5.8,6.2,4.9,5.9,6.1,17.1,17,29.8
2,1,3,18,"Calibrador",8.2,5.9,7.9,8.9,6.2,7.8,22.1,22.9,36.5,5.5,5.5,6.9,5.5,5.7,6,17.9,17,28.2
2,1,4,27,"Calibrador",9.1,6.2,6.8,8.5,6.2,7,23.2,22.5,36.9,5.5,5.8,6.2,5.5,6,6.2,17,17.9,26.5
2,1,5,50,"Calibrador",8.5,6.1,6.3,8.9,6.5,7.8,23.2,24.5,39.5,5.2,5.9,6.9,5.5,6,7.5,17,18.2,30.5
2,1,6,55,"Calibrador",7,5.4,7.2,7.1,5.5,7.1,20.9,21.1,34.1,4.9,5.1,5.5,4.9,5.3,6,16.1,16,27.1
2,1,7,60,"Calibrador",7,5.5,7.5,7.2,5.2,7.1,21.2,21.5,35.5,4.9,5.1,6,4.9,5.5,6.5,16.9,16.2,26.5
2,1,8,71,"Calibrador",8,6.9,17.5,7.4,5.9,7.5,21.9,21.5,37,4.9,5.5,5.5,5,5.1,6.5,16.8,15.9,27.5
2,1,9,76,"Calibrador",8.9,7.9,7.9,8.2,6.3,7.5,23.5,21.2,36,5.2,5.9,6.3,5.5,6,6.5,16.9,15,27.2
2,1,10,79,"Calibrador",7.9,6.5,NA,8,6.5,7.8,0,22.2,0,4.9,6,6.5,5,5.9,6.5,16.2,17.2,25.9
2,1,11,95,"Calibrador",8.2,6.5,7.2,8.2,6.2,7.5,22.9,22.8,35.2,5.2,5.9,6.3,5.2,5.9,6.5,16,17.2,25.5
2,1,12,116,"Calibrador",8.2,6,7.2,7.9,6,7.9,22,21.5,32.5,5.2,5.9,6.5,4.9,5.9,6.9,16.9,16.2,26.5
2,1,13,130,"Calibrador",8,5.9,7.9,8.2,6.5,8,22.1,22.2,38.5,6,7.2,7,6.5,5.9,7,18.1,18.5,30.5
2,2,1,3,"Calibrador",8,6,7.9,7.2,5.2,7.5,21.9,21.5,36.5,5.1,5.1,6,4.5,4.9,6.2,15.5,15.1,27.9
