"Evaluador","ID","mm_11","mm_12","mm_13","mm_21","mm_22","mm_23","mm_13_11","mm_23_21","intercanina_sup","mm_41","mm_42","mm_43","mm_31","mm_32","mm_33","mm_43_41","mm_33_31","intercanina_inf","Edad","Sexo","Estatura","Origen"
2,1,8.91,6.33,7.93,8.23,7.15,7.75,22.76,22.85,39.48,5.04,6.37,6.84,4.72,6.36,7.19,18.95,18.57,30.38,21,"F",1.6,"Ciudad de México"
2,2,7.62,5.41,7.32,8.07,6.11,7.13,22.67,22.96,35.88,4.94,5.64,6.91,5.13,5.85,6.47,15.75,16.82,25.49,21,"F",1.56,"Ciudad de México"
2,3,7.55,5.78,7.79,7.57,5.71,6.86,22.81,22.34,39.45,4.79,5.06,6.32,4.73,5.97,6.13,17.33,15.59,27.19,25,"F",1.67,"Ciudad de México"
2,4,6.97,5.65,7.53,7.51,5.44,7.15,21.05,20.53,36.39,4.36,5.39,6.14,4.23,5.33,6.27,15.91,15.68,25.68,22,"F",1.67,"Guanajuato"
2,5,8.08,6.53,6.53,7.66,6.51,7.63,22.44,21.41,38.51,4.91,5.16,6.43,5.14,5.13,6.83,16.74,16.76,29.11,21,"F",1.5,"Estado de México"
2,6,7.74,6.36,6.79,7.64,6.17,7.73,21.35,21.22,33.14,4.85,5.14,6.29,4.68,5.35,6.08,15.98,16.44,26.16,21,"F",1.68,"Ciudad de México"
2,7,7.74,5.63,7.21,7.43,5.13,7.54,21.94,21.52,37.46,5.23,5.69,6.54,4.45,5.37,5.82,15.24,15.58,26.86,22,"M",1.6,"Estado de México"
2,8,8.68,6.94,6.87,9.13,7.85,7.95,23.34,21.5,35.58,5.62,6.43,7.14,5.72,6.06,6.73,15.72,16.25,27.29,21,"M",1.76,"Ciudad de México"
2,9,8.34,6.63,8.08,8.84,7.41,8.31,21.71,23.44,40.67,5.39,6.31,7.27,5.59,6.14,7.25,17.17,17.68,30.52,21,"F",1.59,"Ciudad de México"
2,10,7.75,6.59,7.92,7.92,7.03,7.08,20.55,21.11,35.38,5.31,6.18,6.45,5.59,6.03,5.91,14.55,16.71,27.74,NA,"F",1.56,NA
2,11,7.63,6.67,7.53,8.24,6.85,6.72,21.86,22.49,37.41,5.39,6.39,6.53,5.48,5.98,5.86,16.14,15.23,28.18,21,"F",1.54,"Ciudad de México"
2,12,7.53,5.98,7.19,7.77,5.61,7.44,21.39,21.11,34.79,5.26,5.11,6.01,4.5,5.87,6.08,14.86,15.57,24.21,21,"F",1.59,"Estado de México"
2,13,7.75,6.49,7.65,7.63,6.7,7.45,19.01,19.25,19.03,5.11,5.44,6.13,5.37,5.46,5.87,14.76,14.23,25.65,21,"F",1.64,"Estado de México"
2,14,7.8,6.49,7.85,8.25,6.31,7.31,20.47,21.02,37.85,4.79,5.87,6.83,4.58,5.81,6.05,19.36,16.33,30.26,20,"F",1.5,"Estado de México"
2,15,8.53,6.65,8.27,8.83,6.52,8.32,22.02,22.38,37.46,5.95,6.38,7.6,5.62,6.26,7.18,16.44,17.14,30.42,21,"F",1.57,"Ciudad de México"
2,16,8.04,6.99,7.93,8.51,6.69,NA,20.94,NA,NA,5.27,6,6.56,5.43,5.51,6.14,15.83,17.11,28.29,22,"F",1.5,"Ciudad de México"
2,17,7.66,5.81,7.69,7.41,6.06,7.08,20.73,20.89,34.62,5.18,5.18,5.72,4.68,5.38,6.26,16.67,16.22,27.31,20,"F",1.42,"Ciudad de México"
2,18,9.04,6.48,8.07,8.93,6.43,7.81,21.41,22.41,36.14,5.69,5.69,6.95,5.28,5.85,7.05,17.44,16.83,29.01,21,"M",1.61,"Estado de México"
2,19,8.01,7.11,8.11,8.44,7.31,8.08,21.66,22.74,35.61,5.09,5.48,6.28,5.05,5.31,6.03,16.18,15.98,25.31,18,"F",1.53,"Ciudad de México"
2,20,7.77,5.81,7.53,7.61,5.62,7.48,20.91,20.04,36.78,4.89,4.87,6.42,6.42,5.53,6.46,15.12,15.71,26.37,18,"F",1.6,"Ciudad de México"
2,21,7.34,5.32,6.77,7.71,5.49,6.67,18.78,19.64,32.49,4.55,5.09,5.76,4.58,5.05,5.31,15.02,14.78,25.18,19,"F",1.56,"Ciudad de México"
2,22,8.04,6.47,7.21,8.06,6.63,7.02,20.61,20.85,20.54,4.81,5.24,6.21,4.53,5.12,5.58,14.55,14.51,21.98,20,"F",1.57,"Estado de México"
2,23,9.73,7.07,8.51,9.53,6.73,8.49,23.02,22.98,39.19,5.06,6.14,7.48,5.33,6.31,6.89,16.32,17.88,29.71,19,"F",1.61,"Querétaro"
2,24,8.53,5.85,7.44,8.31,6.35,7.57,20.56,20.12,33.47,5.06,6.39,6.67,5.24,5.66,6.71,15.76,15.24,25.94,19,"F",1.45,"Estado de México"
2,25,8.67,6.83,8.16,8.69,6.34,8.09,20.63,21.11,36.11,5.81,6.21,6.31,6.08,6.16,6.64,16.39,17.45,28.51,18,"M",1.78,"Estado de México"
2,26,7.56,6.33,7.61,7.62,6.61,8.18,20.68,20.58,33.91,5.37,5.72,6.78,5.25,5.84,6.67,15.12,15.71,27.72,19,"F",1.61,"Ciudad de México"
