"hemiarcada","ID","Sexo","Edad","Estatura","Origen","arco","cuerda_medida","cuerda_geometrica","Tmin_med","Tmax_med","acierto_med","Tmin_geo","Tmax_geo","acierto_geo"
"H4",78,"M",18,1.7,"Ciudad de México",17.55,16.45,16.867,1.55,1.654,0,1.59,1.654,0
"H4",79,"M",19,1.63,"Estado de México",17.56,17.03,16.293,1.605,1.655,1,1.536,1.655,1
"H4",81,"F",18,1.57,"Ciudad de México",17.38,17.26,16.612,1.627,1.638,0,1.566,1.638,1
"H4",84,"F",18,1.73,"Ciudad de México",20.38,18.18,19.251,1.713,1.921,1,1.814,1.921,0
"H4",87,"M",18,1.75,"Ciudad de México",18.44,18.32,17.512,1.727,1.738,0,1.65,1.738,0
"H4",90,"F",18,1.57,"Ciudad de México",17.26,15.58,16.144,1.468,1.627,1,1.522,1.627,1
"H4",95,"F",19,1.67,"Ciudad de México",18.03,16.63,16.875,1.567,1.699,1,1.59,1.699,1
"H4",96,"F",19,1.7,"Ciudad de México",19.84,17.99,18.608,1.696,1.87,1,1.754,1.87,0
"H4",97,"F",18,1.57,"Ciudad de México",17.17,17.25,16.343,1.618,1.626,0,1.54,1.618,1
"H4",99,"M",19,1.81,"Ciudad de México",20.33,17.06,18.664,1.608,1.916,1,1.759,1.916,1
"H4",102,"F",17,1.51,"Ciudad de México",18.7,18.68,17.723,1.761,1.762,0,1.67,1.762,0
"H4",105,"F",21,1.56,"Ciudad de México",17.69,16.95,16.712,1.597,1.667,0,1.575,1.667,0
"H4",106,"F",19,1.61,"Querétaro",19.17,18.45,18.04,1.739,1.807,0,1.7,1.807,0
"H4",107,"F",43,1.62,"Ciudad de México",19.04,19.84,18.063,1.794,1.87,0,1.702,1.794,0
"H4",108,"F",20,1.67,"Ciudad de México",20.29,18.95,19.118,1.786,1.912,0,1.802,1.912,0
"H4",109,"F",54,1.53,"Michoacán",18.05,16.75,16.641,1.579,1.701,0,1.568,1.701,0
"H4",110,"M",18,1.71,"Estado de México",18.46,17.22,17.195,1.623,1.74,1,1.621,1.74,1
"H4",111,"F",19,1.63,"Ciudad de México",16.1,17.99,15.669,1.517,1.696,1,1.477,1.517,0
"H4",112,"M",20,1.66,"Ciudad de México",18.69,18.81,17.375,1.761,1.773,0,1.638,1.761,1
"H4",113,"M",47,1.75,"Ciudad de México",17.38,18.43,16.84,1.638,1.737,0,1.587,1.638,0
"H4",114,"M",29,1.69,"Ciudad de México",16.96,15.98,15.77,1.506,1.598,0,1.486,1.598,0
"H4",116,"M",22,1.71,"Ciudad de México",16.82,17.34,16.201,1.585,1.634,0,1.527,1.585,0
"H4",117,"F",23,1.59,"Estado de México",18.21,15.83,16.781,1.492,1.716,1,1.582,1.716,1
"H4",118,"F",59,1.51,"Michoacán",18.23,16.89,16.94,1.592,1.718,0,1.597,1.718,0
"H4",119,"F",32,1.56,"Ciudad de México",17.99,17.86,17.013,1.683,1.696,0,1.603,1.696,0
"H4",120,"F",48,1.55,"Michoacán",18.52,18.35,17.725,1.729,1.745,0,1.671,1.745,0
"H4",121,"F",19,1.55,"Ciudad de México",20.08,20.33,18.712,1.892,1.916,0,1.764,1.892,0
"H4",122,"F",27,1.55,"Ciudad de México",17.13,17.27,16.062,1.614,1.628,0,1.514,1.614,1
"H4",123,"M",25,1.74,"Ciudad de México",18.91,17.45,17.665,1.645,1.782,1,1.665,1.782,1
"H4",124,"F",19,1.61,"Ciudad de México",17.66,16.42,16.48,1.548,1.664,1,1.553,1.664,1
"H4",125,"M",18,1.78,"Estado de México",18.27,18.53,17.027,1.722,1.746,0,1.605,1.722,0
"H4",126,"F",19,1.45,"Estado de México",17.96,16.56,16.429,1.561,1.693,0,1.548,1.693,0
"H4",127,"F",31,1.61,"Estado de México",16.84,17.35,15.75,1.587,1.635,1,1.484,1.587,0
"H4",128,"F",25,1.67,"Ciudad de México",18.77,18.87,17.751,1.769,1.778,0,1.673,1.769,0
"H4",129,"F",25,1.58,"Estado de México",18.07,17.96,16.648,1.693,1.703,0,1.569,1.703,1
"H4",130,"F",44,1.71,"Ciudad de México",19.54,19.61,18.292,1.842,1.848,0,1.724,1.842,0
